,"PLANTA: TODAS LAS PLANTAS
PROCESO: APOYO
AREA: SISTEMAS Y TELECOMUNICACIONES
",,,,,,,,,"Tipo: FTO
Código: FTO-SYT-19
Revisión: 00
Página: 1 
",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Formato de actualización de precios de compra.,,,,,,,,,#¡REF!,,
,,,,,,,,,,#¡REF!,,
,,,,,,,,,|,,,
COMPANY_CODE,DIVISION,PRICE_RECORD_NUMBER,CUSTOMER_NUMBER,WAREHOUSE,PART_CODE,SYS_CURRENCY_CODE,UNIT_PRICE,PRICE_CODE,DESCRPTION,VALID_FROM_DATE,VALID_TO_DATE,SALES_PRICE
id_compañia,id_division,numero_concecutivo,codigo_cliente,almacen,codigo_producto,moneda_contrato,unidad_medida_(kg),codigo_precio,descripcion,fecha_valida_desde,fecha_valida_hasta,precio
01,01,1,C010001,V5,TOA1-000-P,MXP,KG,PURATOS,ALBUMINA Ph NATURAL,01/03/2022,30/03/2022, 10.00 
01,01,2,C010001,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PAN ,01/03/2022,30/03/2022, 10.00 
01,01,3,C010001,V5,TOH1-000-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO,01/03/2022,30/03/2022, 10.00 
01,01,4,C010001,X5,TLY1-000-P,MXP,KG,PURATOS,YLPE-YEMA LIQUIDA ,01/03/2022,30/03/2022, 10.00 
01,01,5,C010003,A5,TCY1-002-P,MXP,KG,PURATOS,YCSK-YEMA CONGELADA 10% SAL,01/03/2022,30/03/2022, 10.00 
01,01,6,C010003,V5,TOH1-017-P,MXP,KG,PURATOS,HUEVO CON AZUCAR,01/03/2022,30/03/2022, 10.00 
01,01,7,C010004,V5,TOH1-002-P,MXP,KG,PURATOS,DPET-HUEVO DESHIDRATADO PET,01/03/2022,30/03/2022, 10.00 
01,01,8,C010004,V5,TOH1-018-P,MXP,KG,PURATOS,DHDE-HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
01,01,9,C010004,V5,TOA1-002-P,MXP,KG,PURATOS,ALBUMINA Ph AJUSTADO,01/03/2022,30/03/2022, 10.00 
01,01,10,C010006,V5,TOH1-000-P,MXP,KG,PURATOS,DHRX-HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,11,C010006,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,12,C010007,V5,TOH1-018-P,MXP,KG,PURATOS,DHDE-HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
01,01,13,C010007,V5,TOY1-004-P,MXP,KG,PURATOS,DYPE-YEMA DESHIDRATADA ,01/03/2022,30/03/2022, 10.00 
01,01,14,C010007,A5,TCY1-001-P,MXP,KG,PURATOS,YCSH-YEMA CONGELADA 10% SAL,01/03/2022,30/03/2022, 10.00 
01,01,15,C010007,V5,TOY1-006-P,MXP,KG,PURATOS,YEMA ENZIMATICA,01/03/2022,30/03/2022, 10.00 
01,01,16,C010008,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,17,C010010,A5,TLY1-003-P,MXP,KG,PURATOS,YLSH-YEMA LIQUIDA 10% SAL,01/03/2022,30/03/2022, 10.00 
01,01,18,C010010,A5,TLY1-003-P,MXP,KG,PURATOS,YLSH-YEMA LIQUIDA 10% SAL,01/03/2022,30/03/2022, 10.00 
01,01,19,C010011,A5,TCY1-001-P,MXP,KG,PURATOS,YEMA CONG. CON SAL ,01/03/2022,30/03/2022, 10.00 
01,01,20,C010013,V5,TOA1-001-P,MXP,KG,PURATOS,ALBUMINA NORMAL RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,21,C010014,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,22,C010015,V5,TOY1-004-P,MXP,KG,PURATOS,DYPE-YEMA DESHIDRATADA ,01/03/2022,30/03/2022, 10.00 
01,01,23,C010016,V5,TOA1-003-P,MXP,KG,PURATOS,DAAE-ALBUMINA ALTA ESPUMA ,01/03/2022,30/03/2022, 10.00 
01,01,24,C010016,V5,TOH1-000-P,MXP,KG,PURATOS,HUEVO EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,25,C010019,V5,TOA1-003-P,MXP,KG,PURATOS,ALBUMINA ALTA ESPUMA,01/03/2022,30/03/2022, 10.00 
01,01,26,C010019,V5,TOA1-002-P,MXP,KG,PURATOS,ALBUMINA Ph AJUSTADO,01/03/2022,30/03/2022, 10.00 
01,01,27,C010019,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA Ph NATURAL,01/03/2022,30/03/2022, 10.00 
01,01,28,C010019,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA Ph NATURAL,01/03/2022,30/03/2022, 10.00 
01,01,29,C010019,A5,TCC1-001-P,MXP,KG,PURATOS,CCPE-CLARA CONGELADA ,01/03/2022,30/03/2022, 10.00 
01,01,30,C010019,A5,TCC1-001-P,MXP,KG,PURATOS,CCPE-CLARA CONGELADA ,01/03/2022,30/03/2022, 10.00 
01,01,31,C010019,A5,TCC1-000-P,MXP,KG,PURATOS,CLARA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,32,C010019,A5,TCC1-000-P,MXP,KG,PURATOS,CLARA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,33,C010019,V5,IOH1-004-P,MXP,KG,PURATOS,DHOE-HUEVO DESHIDRATADO  OMELET,01/03/2022,30/03/2022, 10.00 
01,01,34,C010019,V5,TOH1-000-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,35,C010019,V5,TOH1-000-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,36,C010019,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,37,C010019,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,38,C010019,V5,TOH1-001-P,MXP,KG,PURATOS,HUEVO EN POLVO MIX,01/03/2022,30/03/2022, 10.00 
01,01,39,C010019,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO GOURMET PREMIUM NVA,01/03/2022,30/03/2022, 10.00 
01,01,40,C010019,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO GOURMET PREMIUM NVA,01/03/2022,30/03/2022, 10.00 
01,01,41,C010019,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGA PAN FORTE LIQ,01/03/2022,30/03/2022, 10.00 
01,01,42,C010019,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGA PAN FORTE LIQ,01/03/2022,30/03/2022, 10.00 
01,01,43,C010019,A5,TCY1-000-P,MXP,KG,PURATOS,YCPG-YEMA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,44,C010019,A5,TCY1-000-P,MXP,KG,PURATOS,YCPG-YEMA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,45,C010019,V5,TOY1-004-P,MXP,KG,PURATOS,YEMA DESHIDRATADA,01/03/2022,30/03/2022, 10.00 
01,01,46,C010025,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PAN ,01/03/2022,30/03/2022, 10.00 
01,01,47,C010037,V5,TOA1-008-P,MXP,KG,PURATOS,DALB-ALBUMINA  ,01/03/2022,30/03/2022, 10.00 
01,01,48,C010037,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,49,C010037,V5,IOH1-004-P,MXP,KG,PURATOS,DHOE-HUEVO DESHIDRATADO  OMELET,01/03/2022,30/03/2022, 10.00 
01,01,50,C010037,A5,TCC1-000-P,MXP,KG,PURATOS,CCPG-CLARA CONGELADA GOURMET ,01/03/2022,30/03/2022, 10.00 
01,01,51,C010037,A5,TCC1-000-P,MXP,KG,PURATOS,CCPG-CLARA CONGELADA GOURMET ,01/03/2022,30/03/2022, 10.00 
01,01,52,C010037,A5,TCY1-000-P,MXP,KG,PURATOS,YCPG-YEMA CONGELADA GOURMET          ,01/03/2022,30/03/2022, 10.00 
01,01,53,C010037,A5,TCY1-000-P,MXP,KG,PURATOS,YCPG-YEMA CONGELADA GOURMET          ,01/03/2022,30/03/2022, 10.00 
01,01,54,C010037,A5,TCY1-001-P,MXP,KG,PURATOS,YEMA CONG. CON SAL ,01/03/2022,30/03/2022, 10.00 
01,01,55,C010037,V5,TOA1-003-P,MXP,KG,PURATOS,DAAE-ALBUMINA ALTA ESPUMA,01/03/2022,30/03/2022, 10.00 
01,01,56,C010037,V5,TOH1-012-P,MXP,KG,PURATOS,HUEVO DESH ESPINACA,01/03/2022,30/03/2022, 10.00 
01,01,57,C010037,V5,TOH1-013-P,MXP,KG,PURATOS,HUEVO DESH CHORIZO,01/03/2022,30/03/2022, 10.00 
01,01,58,C010037,X5,ILH1-007-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,59,C010037,X5,ILH1-007-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,60,C010037,A5,TCH1-010-P,MXP,KG,PURATOS,HUEVO CONG GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,61,C010037,A5,TCH1-010-P,MXP,KG,PURATOS,HUEVO CONG GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,62,C010037,X5,TLH1-009-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,63,C010037,X5,TLH1-009-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,64,C010037,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,65,C010037,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,66,C010037,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE,01/03/2022,30/03/2022, 10.00 
01,01,67,C010037,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE,01/03/2022,30/03/2022, 10.00 
01,01,68,C010037,V5,TOY1-000-P,MXP,KG,PURATOS,YEMA DESHIDRATADA 70,01/03/2022,30/03/2022, 10.00 
01,01,69,C010042,V5,TOH1-018-P,MXP,KG,PURATOS,DHDE-HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
01,01,70,C010042,V5,TOA1-002-P,MXP,KG,PURATOS,DAPH-ALBUMINA PH AJUSTADO,01/03/2022,30/03/2022, 10.00 
01,01,71,C010303,V5,TOA1-003-P,MXP,KG,PURATOS,DAPH-ALBUMINA PH AJUSTADO,01/03/2022,30/03/2022, 10.00 
01,01,72,C010303,V5,TOA1-008-P,MXP,KG,PURATOS,DALB-ALBUMINA ,01/03/2022,30/03/2022, 10.00 
01,01,73,C010074,V5,TOY1-000-P,MXP,KG,PURATOS,YEMA EN POLVO 70,01/03/2022,30/03/2022, 10.00 
01,01,74,C010078,V5,TOA1-008-P,USD,KG,PURATOS,DALB-ALBUMINA ,01/03/2022,30/03/2022, 10.00 
01,01,75,C010078,V5,TOA1-003-P,USD,KG,PURATOS,DAAE-ALBUMINA ALTA ESPUMA ,01/03/2022,30/03/2022, 10.00 
01,01,76,C010078,V5,TOH1-018-P,USD,KG,PURATOS,DHDE-HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
01,01,77,C010078,V5,IOH1-004-P,USD,KG,PURATOS,DHOE-HUEVO DESHIDRATADO  OMELET    ,01/03/2022,30/03/2022, 10.00 
01,01,78,C010078,V5,TOH1-002-P,USD,KG,PURATOS,DA10-HUEVO DESHIDRATADO A10S30,01/03/2022,30/03/2022, 10.00 
01,01,79,C010078,V5,TOY1-004-P,USD,KG,PURATOS,DYPE-YEMA DESHIDRATADA ,01/03/2022,30/03/2022, 10.00 
01,01,80,C010078,V5,TOH1-001-P,USD,KG,PURATOS,DMIX-HUEVO DESHIDRATADO PREMIUM MIX,01/03/2022,30/03/2022, 10.00 
01,01,81,C010078,V5,TOY1-001-P,USD,KG,PURATOS,DYAR-YEMA DESHIDRATADA ALTO RENDIMIENTO,01/03/2022,30/03/2022, 10.00 
01,01,82,C010083,V5,TOA1-003-P,MXP,KG,PURATOS,ALBUMINA ALTA ESPUMA,01/03/2022,30/03/2022, 10.00 
01,01,83,C010083,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,84,C010105,V5,TOA1-003-P,MXP,KG,PURATOS,DAAE-ALBUMINA ALTA ESPUMA ,01/03/2022,30/03/2022, 10.00 
01,01,85,C010105,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO,01/03/2022,30/03/2022, 10.00 
01,01,86,C010108,V5,TOA1-003-P,MXP,KG,PURATOS,ALBUMINA ALTA ESPUMA,01/03/2022,30/03/2022, 10.00 
01,01,87,C010108,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,88,C010109,V5,TOY1-004-P,MXP,KG,PURATOS,YEMA EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,89,C010109,V5,TOA1-002-P,MXP,KG,PURATOS,ALBUMINA Ph AJUSTADO,01/03/2022,30/03/2022, 10.00 
01,01,90,C010111,V5,TOA1-008-P,USD,KG,PURATOS,DALB-ALBUMINA ,01/03/2022,30/03/2022, 10.00 
01,01,91,C010111,V5,TOA1-003-P,USD,KG,PURATOS,DAAE-ALBUMINA ALTA ESPUMA ,01/03/2022,30/03/2022, 10.00 
01,01,92,C010111,V5,TOH1-018-P,USD,KG,PURATOS,DHDE-HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
01,01,93,C010111,V5,IOH1-004-P,USD,KG,PURATOS,DHOE-HUEVO DESHIDRATADO  OMELET    ,01/03/2022,30/03/2022, 10.00 
01,01,94,C010111,V5,TOH1-002-P,USD,KG,PURATOS,DA10-HUEVO DESHIDRATADO A10S30,01/03/2022,30/03/2022, 10.00 
01,01,95,C010111,V5,TOY1-004-P,USD,KG,PURATOS,DYPE-YEMA DESHIDRATADA ,01/03/2022,30/03/2022, 10.00 
01,01,96,C010111,V5,TOH1-001-P,USD,KG,PURATOS,DMIX-HUEVO DESHIDRATADO PREMIUM MIX,01/03/2022,30/03/2022, 10.00 
01,01,97,C010111,V5,TOY1-001-P,USD,KG,PURATOS,DYAR-YEMA DESHIDRATADA ALTO RENDIMIENTO,01/03/2022,30/03/2022, 10.00 
01,01,98,C010120,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,99,C010122,A5,TCC1-001-P,MXP,KG,PURATOS,CLARA CONGELADA ESTANDAR,01/03/2022,30/03/2022, 10.00 
01,01,100,C010122,X5,TCY1-000-P,MXP,KG,PURATOS,YEMA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,101,C010125,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,102,C010126,V5,TOY1-004-P,MXP,KG,PURATOS,DYPE-YEMA DESHIDRATADA ,01/03/2022,30/03/2022, 10.00 
01,01,103,C010164,V5,TOA1-008-P,MXP,KG,PURATOS,DALB-ALBUMINA ,01/03/2022,30/03/2022, 10.00 
01,01,104,C010165,V5,TOA1-008-P,MXP,KG,PURATOS,DALB-ALBUMINA ,01/03/2022,30/03/2022, 10.00 
01,01,105,C010168,V5,TOH1-016-P,MXP,KG,PURATOS,HUEVO OMELET DICONSA,01/03/2022,30/03/2022, 10.00 
01,01,106,C010186,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,107,C010192,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,108,C010192,V5,TOH1-018-P,MXP,KG,PURATOS,DHDE-HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
01,01,109,C010216,V5,TOA1-003-P,MXP,KG,PURATOS,DAAE-ALBUMINA ALTA ESPUMA ,01/03/2022,30/03/2022, 10.00 
01,01,110,C010219,V5,TOA1-008-P,USD,KG,PURATOS,DALB-ALBUMINA ,01/03/2022,30/03/2022, 10.00 
01,01,111,C010221,V5,TOH1-001-P,USD,KG,PURATOS,HUEVO DESHIDRATADO MIX,01/03/2022,30/03/2022, 10.00 
01,01,112,C010235,V5,TOH1-010-P,MXP,KG,PURATOS,HUEVO MEGGA BATIDOS,01/03/2022,30/03/2022, 10.00 
01,01,113,C010236,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,114,C010236,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO,01/03/2022,30/03/2022, 10.00 
01,01,115,C010238,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,116,C010238,V5,TOA1-003-P,MXP,KG,PURATOS,ALBUMINA ALTA ESPUMA,01/03/2022,30/03/2022, 10.00 
01,01,117,C010238,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO,01/03/2022,30/03/2022, 10.00 
01,01,118,C010238,V5,TOY1-004-P,MXP,KG,PURATOS,YEMA DESHIDRATADA,01/03/2022,30/03/2022, 10.00 
01,01,119,C010247,V5,TOA1-002-P,MXP,KG,PURATOS,DAAH-ALBUMINA PH AJUSTADO ,01/03/2022,30/03/2022, 10.00 
01,01,120,C010247,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,121,C010255,V5,TOH1-018-P,MXP,KG,PURATOS,DHDE-HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
01,01,122,C010255,V5,TOH1-000-P,MXP,KG,PURATOS,DHRX-HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,123,C010255,V5,TOY1-004-P,MXP,KG,PURATOS,DYPE-YEMA DESHIDRATADA ,01/03/2022,30/03/2022, 10.00 
